Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
50,1 charger per site,"$19,200","$26,000",$200,$106,"$45,506"
50,2 chargers per site,"$15,200","$20,800",$150,$85,"$36,235"
50,3-5 chargers per site,"$11,200","$15,600",$100,$64,"$26,964"
50,6-50 chargers per site,"$7,200","$10,400",$50,$42,"$17,692"
150,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
150,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
150,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
150,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
350,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
350,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
350,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
350,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
