gen,nevals,avg,std,min,max
0,100,575.0548417081824,925.8138934915845,1.0,3773.389575662695
1,87,562.5548454425326,906.2903881488816,1.0,3575.1793908547365
2,90,552.806712419345,903.6797890222837,1.0,3575.1793908547365
3,90,556.8096938911996,935.0305279518177,1.0,3575.1793908547365
4,94,539.1913198749397,901.7416171414783,1.0,3575.1793908547365
5,92,544.4050392940412,918.5966916200706,1.0,3575.1793908547365
6,92,526.5808973344459,892.0480133966953,1.0,3575.1793908547365
7,91,533.1647290264577,897.1261841324459,1.0,3575.1793908547365
8,90,522.0337264766396,879.3895111486505,1.0,3601.2815731734418
9,84,539.0705488064455,911.4303202726179,1.0,3601.2815731734418
10,88,501.19290299077943,845.977052229824,1.0,3601.2815731734418
11,91,519.0784913415537,901.5885166494886,1.0,3601.2815731734418
12,91,530.3686484653458,923.9595189219913,1.0,3601.2815731734418
13,91,489.42605831319685,821.6451034037743,1.0,3601.2815731734418
14,91,467.9655872305148,811.9709221681678,1.0,3601.2815731734418
15,93,469.7087540328669,806.8295647966971,1.0,3601.2815731734418
16,90,470.2762974180907,785.2695746159417,1.0,3601.2815731734418
17,93,457.6140856401523,774.0445879905145,1.0,3601.2815731734418
18,89,457.9010896288025,781.337213420079,1.0,3601.2815731734418
19,91,442.69453631931987,733.5599379816616,1.0,3601.2815731734418
20,92,436.5071306002899,721.7629853661348,1.0,3601.2815731734418
21,90,432.5931629525426,713.3636758231936,1.0,3601.2815731734418
22,88,438.56369047907856,741.7289384478705,1.0,3601.2815731734418
23,88,458.7199674182098,761.1457648995436,1.0,3601.2815731734418
24,91,454.61494334830655,753.0208827258925,1.0,3601.2815731734418
25,88,453.44780818452233,758.1998401080673,1.0,3601.2815731734418
26,94,444.0411747658576,742.9533281906876,1.0,3601.2815731734418
27,86,458.9467000291682,776.1470528099403,1.0,3601.2815731734418
28,96,440.29022663010693,739.2113094062078,1.0,3601.2815731734418
29,91,439.26606511066706,743.0152407680679,1.0,3601.2815731734418
30,96,443.6850319944431,770.3568484183077,1.0,3601.2815731734418
31,88,418.28583961518063,697.4353957790813,1.0,3601.2815731734418
32,87,421.81511490646915,705.9689365340874,1.0,3601.2815731734418
33,92,444.97356371496875,736.1624349482395,1.0,3601.2815731734418
34,93,433.90155590822883,722.8949383034804,1.0,3601.2815731734418
35,93,427.5248488541029,720.6212385746289,1.0,3601.2815731734418
36,89,431.31567031625997,720.9806864959188,1.0,3601.2815731734418
37,90,409.11602354560097,692.4169366824337,1.0,3601.2815731734418
38,91,412.0467319887422,682.1648496743103,1.0,3601.2815731734418
39,89,423.1348753366825,707.7205035689433,1.0,3601.2815731734418
40,93,428.32199392444886,731.9022274078072,1.0,3601.2815731734418
41,87,409.1384222903885,680.8466173956384,1.0,3601.2815731734418
42,90,426.4776264455301,726.3696874141384,1.0,3601.2815731734418
43,89,408.1421603992992,673.860215885777,1.0,3601.2815731734418
44,94,417.9362054499003,703.649058982319,1.0,3601.2815731734418
45,87,408.14480185577327,687.3526660135117,1.0,3601.2815731734418
46,86,451.22343023973235,741.9018798070849,1.0,3601.2815731734418
47,89,427.14169932586594,712.7572544808643,1.0,3601.2815731734418
48,86,435.2420056802695,729.4018010473532,1.0,3601.2815731734418
49,90,436.26783086403424,730.3875390061357,1.0,3601.2815731734418
50,93,410.38433519602864,707.0640140138148,1.0,3601.2815731734418
51,93,415.1196449815675,698.8999438564956,1.0,3601.2815731734418
52,85,428.354005742762,724.0472082386062,1.0,3601.2815731734418
53,91,439.1028400853585,732.9217523518727,1.0,3601.2815731734418
54,93,415.1282358406086,687.8648943623687,1.0,3601.2815731734418
55,88,441.09855414444127,743.1888777391948,1.0,3601.2815731734418
56,91,421.60671768622564,713.1578321337329,1.0,3601.2815731734418
57,91,422.6460961030832,719.1806440493274,1.0,3601.2815731734418
58,87,414.45019352094357,696.5361051610566,1.0,3601.2815731734418
59,82,435.128545591513,723.2740271571165,1.0,3601.2815731734418
60,92,410.48588164853396,689.56939268962,1.0,3601.2815731734418
61,94,430.25939964721886,723.1785276319657,1.0,3601.2815731734418
62,90,450.2907804984514,771.5253287803321,1.0,3601.2815731734418
63,92,440.2206447119786,751.3128177144074,1.0,3601.2815731734418
64,93,435.5652575582455,748.1013562218934,1.0,3601.2815731734418
65,88,444.59047317585055,749.6915874103944,1.0,3601.2815731734418
66,88,445.4113019946235,753.6618781976167,1.0,3601.2815731734418
67,84,435.0117822534787,740.3640558489658,1.0,3601.2815731734418
68,92,417.07025715092396,701.6138757880193,1.0,3601.2815731734418
69,89,424.99350099302575,712.4119224276861,1.0,3601.2815731734418
70,90,454.7274358911546,759.6226338075401,1.0,3601.2815731734418
71,87,434.0580257623723,732.8836506258214,1.0,3601.2815731734418
72,88,421.11018929618257,697.5003941752923,1.0,3601.2815731734418
73,92,437.73426481034085,731.1702289260905,1.0,3601.2815731734418
74,86,415.9833407286293,683.2810162922365,1.0,3601.2815731734418
75,92,432.76308237407665,726.5199287127037,1.0,3601.2815731734418
76,90,430.7931044847975,742.879359826517,1.0,3601.2815731734418
77,92,412.42850450155436,703.0291904440977,1.0,3601.2815731734418
78,93,411.1282671628418,702.4397665949501,1.0,3601.2815731734418
79,90,432.5229301247577,738.7542540916892,1.0,3601.2815731734418
80,91,425.59469457858575,718.3853681283097,1.0,3601.2815731734418
81,91,409.1684669318839,686.5359120487268,1.0,3601.2815731734418
82,90,405.7451788704762,682.7874098594982,1.0,3601.2815731734418
83,89,431.05006763793654,715.8379606296666,1.0,3601.2815731734418
84,91,419.55022630547006,697.4510263314762,1.0,3601.2815731734418
85,88,405.28013941979714,673.2194670324735,1.0,3601.2815731734418
86,88,399.46034852863966,675.1471434175322,1.0,3601.2815731734418
87,88,397.2594487223286,673.9722531755094,1.0,3601.2815731734418
88,95,396.15658076539694,653.6592086672708,1.0,3601.2815731734418
89,85,400.8400719800676,683.6346170535862,1.0,3601.2815731734418
90,91,420.24771189607236,707.7365810550765,1.0,3601.2815731734418
91,90,415.95740934984804,702.8482261112957,1.0,3601.2815731734418
92,88,408.61912364956225,676.212711327218,1.0,3601.2815731734418
93,88,424.2482859255162,705.251129072239,1.0,3601.2815731734418
94,87,418.44484824206944,714.2421969101969,1.0,3601.2815731734418
95,90,421.6016134865075,707.1745186929247,1.0,3601.2815731734418
96,89,430.5580589193142,715.0051553894801,1.0,3601.2815731734418
97,94,424.7499231814059,696.1422847282996,1.0,3601.2815731734418
98,92,400.8691944727107,672.2107237346603,1.0,3601.2815731734418
99,93,420.4277831112993,700.2757295342791,1.0,3601.2815731734418
100,96,416.3861347392157,702.2334656879516,1.0,3601.2815731734418
